regulator	target
E2F6	MIR760
GTF2B	MIR760
NELFE	MIR760
E2F6	MIR942
GTF2B	MIR942
ELF1	MIR942
PBX3	MIR942
E2F6	MIR761
GTF2B	MIR761
ELF1	MIR761
PBX3	MIR761
E2F6	MIR765
E2F6	hsa-mir-29c
PBX3	hsa-mir-29c
E2F6	MIR1182
E2F6	MIR3127
E2F6	MIR561
GTF2B	MIR561
E2F6	MIR1301
E2F6	MIR663B
NELFE	MIR663B
ELF1	MIR663B
PBX3	MIR663B
BRF1	MIR663B
E2F6	hsa-mir-375
E2F6	MIR1226
ELF1	MIR1226
E2F6	MIR1224
GTF2B	MIR1224
ELF1	MIR1224
PBX3	MIR1224
E2F6	hsa-mir-191
NELFE	hsa-mir-191
PBX3	hsa-mir-191
E2F6	MIR922
ELF1	MIR922
PBX3	MIR922
E2F6	MIR577
E2F6	MIR943
GTF2B	MIR943
NELFE	MIR943
E2F6	MIR4458
E2F6	hsa-mir-378
E2F6	MIR1271
GTF2B	MIR1271
NELFE	MIR1271
E2F6	MIR581
GTF2B	MIR581
NELFE	MIR581
PBX3	MIR581
E2F6	MIR449C
BRF1	MIR449C
E2F6	hsa-mir-449a
BRF1	hsa-mir-449a
E2F6	hsa-mir-449b
BRF1	hsa-mir-449b
E2F6	MIR877
E2F6	MIR4641
GTF2B	MIR4641
E2F6	MIR3691
E2F6	MIR1236
PBX3	MIR1236
E2F6	MIR548B
E2F6	MIR3662
GTF2B	MIR3662
E2F6	MIR3146
E2F6	MIR591
E2F6	hsa-mir-182
E2F6	MIR595
E2F6	MIR501
E2F6	MIR362
E2F6	MIR500A
E2F6	MIR1277
GTF2B	MIR1277
E2F6	MIR374B
E2F6	MIR450B
GTF2B	MIR450B
E2F6	MIR504
GTF2B	MIR504
E2F6	MIR452
NELFE	MIR452
E2F6	hsa-mir-224
NELFE	hsa-mir-224
E2F6	MIR718
E2F6	MIR1204
E2F6	MIR661
E2F6	MIR101-2
E2F6	hsa-mir-27b
ELF1	hsa-mir-27b
E2F6	hsa-mir-24-1
ELF1	hsa-mir-24-1
E2F6	MIR3651
GTF2B	MIR3651
E2F6	MIR601
E2F6	MIR1296
PBX3	MIR1296
E2F6	hsa-mir-1307
ELF1	hsa-mir-1307
PBX3	hsa-mir-1307
E2F6	MIR612
E2F6	hsa-mir-612
GTF2B	MIR612
GTF2B	hsa-mir-612
NELFE	MIR612
NELFE	hsa-mir-612
PBX3	MIR612
PBX3	hsa-mir-612
E2F6	MIR1260B
E2F6	hsa-mir-210
PBX3	hsa-mir-210
E2F6	MIR3163
ELF1	MIR3163
PBX3	MIR3163
E2F6	hsa-mir-141
PBX3	hsa-mir-141
E2F6	hsa-mir-200c
PBX3	hsa-mir-200c
E2F6	hsa-mir-196a-2
BRF1	hsa-mir-196a-2
E2F6	hsa-mir-148b
ELF1	hsa-mir-148b
PBX3	hsa-mir-148b
E2F6	MIR1228
E2F6	hsa-let-7i
GTF2B	hsa-let-7i
NELFE	hsa-let-7i
PBX3	hsa-let-7i
E2F6	MIR616
GTF2B	MIR616
NELFE	MIR616
ELF1	MIR616
PBX3	MIR616
E2F6	MIR26A2
E2F6	MIR620
E2F6	MIR621
E2F6	hsa-mir-18
GTF2B	hsa-mir-18
NELFE	hsa-mir-18
PBX3	hsa-mir-18
TLX3	hsa-mir-18
E2F6	MIR623
ELF1	MIR623
E2F6	MIR3613
ELF1	MIR3613
E2F6	MIR16-1
ELF1	MIR16-1
E2F6	MIR345
PBX3	MIR345
E2F6	MIR626
E2F6	MIR630
GTF2B	MIR630
ELF1	MIR630
PBX3	MIR630
E2F6	MIR9-3
E2F6	hsa-mir-629
GTF2B	hsa-mir-629
PBX3	hsa-mir-629
E2F6	MIR4717
NELFE	MIR4717
ELF1	MIR4717
E2F6	MIR365A
E2F6	MIR3178
E2F6	MIR632
GTF2B	MIR632
PBX3	MIR632
E2F6	MIR634
E2F6	hsa-mir-22
PBX3	hsa-mir-22
E2F6	hsa-mir-132
SIK1B	hsa-mir-132
E2F6	MIR1180
ELF1	MIR1180
PBX3	MIR1180
E2F6	hsa-mir-451
GTF2B	hsa-mir-451
E2F6	hsa-mir-142
GTF2B	hsa-mir-142
PBX3	hsa-mir-142
E2F6	MIR636
GTF2B	MIR636
NELFE	MIR636
ELF1	MIR636
E2F6	MIR4741
PBX3	MIR4741
E2F6	MIR3194
E2F6	MIR639
PBX3	MIR639
E2F6	MIR3188
GTF2B	MIR3188
NELFE	MIR3188
PBX3	MIR3188
E2F6	MIR640
ELF1	MIR640
PBX3	MIR640
E2F6	MIR1181
ELF1	MIR1181
E2F6	hsa-mir-23a
GTF2B	hsa-mir-23a
